Absolute_url,incipit,genre,src_link
https://cantusdatabase.org/chant/562633,Ecce nunc palam loqueris et ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/671551,Dominus tamquam ovis ad victimam ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/669163
https://cantusdatabase.org/chant/562160,Seniores populi consilium fecerunt ut ,http://www.wikidata.org/entity/Q604748,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/467250,Ad te domine levavi animam,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/123730
https://cantusdatabase.org/chant/560736,Stephanus servus dei quem lapidabant ,http://www.wikidata.org/entity/Q604748,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/557534,Si diligis me Simon Petre,http://www.wikidata.org/entity/Q604748,https://cantusdatabase.org/source/123716
https://cantusdatabase.org/chant/561787,Pater Abraham miserere mei et ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/670564,Sit nomen domini benedictum in ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/669163
https://cantusdatabase.org/chant/561208,Naturae genitor conserva morte redemptos ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/670715,Dives ille guttam aquae petiit ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/669163
https://cantusdatabase.org/chant/669638,Hic est beatissimus evangelista et ,http://www.wikidata.org/entity/Q604748,https://cantusdatabase.org/source/669163
https://cantusdatabase.org/chant/560432,Loquetur pacem gentibus et potestas ,Responsory verse,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/561604,Veni hodie ad fontem aquae ,http://www.wikidata.org/entity/Q604748,https://cantusdatabase.org/source/123756
https://cantusdatabase.org/chant/638197,In mente altissimi o Satana ,Dramatic element (used for items of liturgical drama that are not otherwise rubricked),https://cantusdatabase.org/source/588308
https://cantusdatabase.org/chant/704158,Ponens Petrus genua sua oravit ,http://www.wikidata.org/entity/Q582093,https://cantusdatabase.org/source/702611
